x	y	lat	lon
1525	1415	41.25	8.85
1571	1408	41.25	9.33
1616	1403	41.23	9.80
1661	1396	41.23	10.27
1707	1390	41.21	10.76
1532	1474	40.78	8.82
1578	1469	40.76	9.30
1625	1463	40.75	9.78
1670	1457	40.73	10.25
1715	1452	40.71	10.72
